season,week,team,rating,rank
2019,5,Indiana,1593.2,56
2019,5,Utah State,1589.1,57
2019,5,Arkansas State,1588.4,58
2019,5,South Carolina,1586.0,59
2019,5,Washington State,1585.7,60
2019,5,Stanford,1584.6,61
2019,5,Louisville,1583.4,62
2019,5,Toledo,1581.9,63
2019,5,Boston College,1581.2,64
2019,5,NC State,1577.9,65
2019,5,Florida Atlantic,1574.8,66
2019,5,Syracuse,1573.5,67
2019,5,UAB,1572.7,68
2019,5,Pittsburgh,1569.7,69
2019,5,Western Michigan,1569.5,70
2019,5,Houston,1568.2,71
2019,5,Army,1567.0,72
2019,5,Tennessee,1565.7,73
2019,5,Southern Miss,1564.2,74
2019,5,Virginia Tech,1561.3,75
2019,5,Kentucky,1558.6,76
2019,5,Temple,1556.7,77
2019,5,Texas Tech,1556.0,78
2019,5,Fresno State,1549.9,79
2019,5,Eastern Michigan,1547.8,80
2019,5,Arkansas,1547.7,81
2019,5,Kansas,1543.0,82
2019,5,Tulsa,1536.5,83
2019,5,Navy,1535.8,84
2019,5,Northwestern,1528.6,85
2019,5,Western Kentucky,1521.9,86
2019,5,BYU,1521.6,87
2019,5,Air Force,1520.0,88
2019,5,UCLA,1518.7,89
2019,5,Purdue,1516.6,90
2019,5,Coastal Carolina,1515.4,91
2019,5,Nevada,1508.5,92
2019,5,Troy,1508.4,93
2019,5,Georgia Tech,1502.8,94
2019,5,Oregon State,1501.1,95
2019,5,East Carolina,1496.8,96
2019,5,Marshall,1495.8,97
2019,5,Vanderbilt,1493.8,98
2019,5,Rutgers,1490.5,99
2019,5,Central Michigan,1489.9,100
2019,5,Kent State,1489.5,101
2019,5,UL Monroe,1487.1,102
2019,5,San José State,1486.6,103
2019,5,Miami (OH),1484.3,104
2019,5,New Mexico,1483.9,105
2019,5,Georgia State,1481.5,106
2019,5,North Texas,1477.6,107
2019,5,Liberty,1467.2,108
2019,5,South Florida,1467.1,109
2019,5,Florida International,1462.1,110
2019,5,Charlotte,1459.8,111
2019,5,Georgia Southern,1456.6,112
2019,5,Texas State,1455.4,113
2019,5,Northern Illinois,1450.8,114
2019,5,Old Dominion,1448.6,115
2019,5,Middle Tennessee,1447.6,116
2019,5,Buffalo,1444.9,117
2019,5,UConn,1442.5,118
2019,5,Colorado State,1431.7,119
2019,5,UNLV,1423.9,120
2019,5,Ohio,1420.3,121
2019,5,UTSA,1411.9,122
2019,5,Ball State,1408.9,123
2019,5,UTEP,1399.1,124
2019,5,South Alabama,1388.0,125
2019,5,Rice,1371.9,126
2019,5,Bowling Green,1365.8,127
2019,5,New Mexico State,1344.7,128
2019,5,Massachusetts,1335.6,129
2019,5,Akron,1302.9,130
2019,6,Ohio State,1894.6,1
2019,6,Alabama,1846.8,2
2019,6,Georgia,1841.5,3
2019,6,Clemson,1817.9,4
2019,6,LSU,1813.7,5
2019,6,Oklahoma,1806.8,6
2019,6,Florida,1795.4,7
2019,6,Penn State,1790.0,8
2019,6,Wisconsin,1782.8,9
2019,6,Auburn,1778.7,10
2019,6,Notre Dame,1759.9,11
2019,6,Texas,1758.2,12
2019,6,Oregon,1740.6,13
2019,6,SMU,1740.2,14
2019,6,Baylor,1736.5,15
2019,6,Washington,1721.0,16
2019,6,Memphis,1718.0,17
2019,6,Michigan,1714.9,18
2019,6,Michigan State,1710.7,19
2019,6,USC,1707.1,20
2019,6,Wake Forest,1696.9,21
2019,6,Minnesota,1694.3,22
2019,6,Boise State,1694.0,23
2019,6,Utah,1693.5,24
2019,6,Arizona State,1689.5,25
2019,6,Cincinnati,1689.3,26
2019,6,UCF,1683.4,27
2019,6,Iowa,1681.2,28
2019,6,Missouri,1677.3,29
2019,6,Florida State,1674.4,30
2019,6,Oklahoma State,1672.9,31
2019,6,Virginia,1665.2,32
2019,6,Iowa State,1659.4,33
2019,6,Duke,1658.0,34
2019,6,Texas A&M,1657.9,35
2019,6,Nebraska,1657.0,36
2019,6,Mississippi State,1648.9,37
2019,6,Arizona,1644.1,38
2019,6,Maryland,1643.8,39
2019,6,North Carolina,1640.1,40
2019,6,TCU,1638.0,41
2019,6,Tulane,1635.5,42
2019,6,San Diego State,1630.9,43
2019,6,App State,1629.5,44
2019,6,Stanford,1624.3,45
2019,6,Louisiana Tech,1621.5,46
2019,6,Hawai'i,1620.2,47
2019,6,Ole Miss,1619.0,48
2019,6,California,1614.7,49
2019,6,Louisiana,1606.7,50
2019,6,Toledo,1604.5,51
2019,6,Colorado,1604.2,52
2019,6,West Virginia,1603.2,53
2019,6,Wyoming,1602.2,54
2019,6,Texas Tech,1602.0,55
2019,6,Virginia Tech,1600.4,56
2019,6,Miami,1600.0,57
2019,6,Pittsburgh,1597.0,58
2019,6,Louisville,1595.9,59
2019,6,Kansas State,1594.8,60
2019,6,Indiana,1593.2,61
2019,6,Temple,1591.6,62
2019,6,Illinois,1586.0,63
2019,6,South Carolina,1586.0,64
2019,6,Washington State,1585.7,65
2019,6,UAB,1585.4,66
2019,6,NC State,1577.9,67
2019,6,Florida Atlantic,1574.8,68
2019,6,Syracuse,1573.5,69
2019,6,Utah State,1573.2,70
2019,6,Boston College,1568.8,71
2019,6,Houston,1568.2,72
2019,6,Southern Miss,1564.2,73
2019,6,Western Kentucky,1562.7,74
2019,6,Navy,1560.5,75
2019,6,Kentucky,1558.6,76
2019,6,Oregon State,1550.5,77
2019,6,Fresno State,1549.9,78
2019,6,Arkansas,1547.7,79
2019,6,Western Michigan,1546.9,80
2019,6,Arkansas State,1543.9,81
2019,6,Tennessee,1538.1,82
2019,6,Central Michigan,1536.3,83
2019,6,Army,1531.3,84
2019,6,Tulsa,1527.3,85
2019,6,Georgia State,1526.0,86
2019,6,BYU,1521.6,87
2019,6,Northwestern,1519.2,88
2019,6,South Florida,1519.1,89
2019,6,Coastal Carolina,1515.4,90
2019,6,Kansas,1515.3,91
2019,6,San José State,1514.7,92
2019,6,Nevada,1508.5,93
2019,6,Purdue,1505.4,94
2019,6,Eastern Michigan,1501.4,95
2019,6,Air Force,1495.3,96
2019,6,Liberty,1488.6,97
2019,6,Troy,1487.6,98
2019,6,Florida International,1487.2,99
2019,6,Miami (OH),1484.3,100
2019,6,Middle Tennessee,1481.4,101
2019,6,Kent State,1477.9,102
2019,6,North Texas,1477.6,103
2019,6,Georgia Southern,1476.4,104
2019,6,Vanderbilt,1469.5,105
2019,6,UCLA,1469.2,106
2019,6,Georgia Tech,1465.5,107
2019,6,Marshall,1462.0,108
2019,6,East Carolina,1461.8,109
2019,6,Charlotte,1459.8,110
2019,6,UL Monroe,1458.4,111
2019,6,New Mexico,1455.8,112
2019,6,Texas State,1455.4,113
2019,6,UTSA,1450.6,114
2019,6,Ball State,1445.9,115
2019,6,Rutgers,1442.0,116
2019,6,Buffalo,1432.8,117
2019,6,Ohio,1432.3,118
2019,6,Northern Illinois,1413.8,119
2019,6,Old Dominion,1407.8,120
2019,6,Colorado State,1402.8,121
2019,6,UNLV,1397.0,122
2019,6,UConn,1390.5,123
2019,6,South Alabama,1368.2,124
2019,6,UTEP,1360.3,125
2019,6,Bowling Green,1359.3,126
2019,6,Rice,1359.2,127
2019,6,New Mexico State,1323.2,128
2019,6,Massachusetts,1310.5,129
2019,6,Akron,1302.9,130
2019,7,Ohio State,1894.6,1
2019,7,Alabama,1871.8,2
2019,7,LSU,1837.7,3
2019,7,Clemson,1835.5,4
2019,7,Oklahoma,1828.8,5
2019,7,Georgia,1816.5,6
2019,7,Penn State,1809.2,7
2019,7,Wisconsin,1808.7,8
2019,7,Auburn,1778.7,9
2019,7,Florida,1771.5,10
